"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Aphelios";"221";"99.1%";"156";"65";"15";"37";"28";"56.9%";"4.15";"1.57";"4.22";"5.33";"348.34";"9.93";"15.7";"446";"67.8%";"33.7%";"25.6%";""
"Sett";"220";"98.7%";"138";"82";"25";"40";"42";"48.8%";"2";"2.76";"4.43";"2.33";"234.39";"6.95";"11.9";"353";"60.7%";"18.9%";"20.5%";""
"Ornn";"192";"86.1%";"98";"94";"21";"54";"40";"57.4%";"1.44";"2.02";"6";"3.68";"243.29";"7.27";"11.4";"341";"64.9%";"12.5%";"19.7%";""
"LeBlanc";"161";"72.2%";"125";"36";"11";"21";"15";"58.3%";"3.5";"1.78";"4.64";"4.58";"272.25";"8.29";"12.6";"384";"70.1%";"30.1%";"22.3%";""
"Zoe";"158";"70.9%";"91";"67";"12";"35";"32";"52.2%";"2.93";"1.54";"5.36";"5.39";"277.27";"8.21";"12.8";"378";"72.3%";"25.5%";"21.8%";""
"Jarvan IV";"155";"69.5%";"57";"98";"14";"49";"49";"50%";"1.24";"2.38";"7.63";"3.73";"160.23";"4.98";"9.8";"305";"82.5%";"11.6%";"17.8%";""
"Senna";"138";"61.9%";"96";"42";"17";"26";"16";"61.9%";"2.31";"1.6";"6.5";"5.52";"90.86";"2.7";"10";"297";"81.1%";"21.3%";"17.1%";""
"Miss Fortune";"126";"56.5%";"12";"114";"14";"53";"61";"46.5%";"3.68";"1.77";"3.89";"4.28";"358.83";"10.56";"15.2";"447";"74.5%";"36.2%";"26.2%";""
"Kalista";"124";"55.6%";"65";"59";"14";"34";"25";"57.6%";"3.92";"1.61";"4.47";"5.21";"337.9";"10.15";"14.9";"448";"73.7%";"34.4%";"25.6%";""
"Olaf";"121";"54.3%";"67";"54";"12";"30";"24";"55.6%";"2.44";"1.96";"5.39";"3.99";"190.78";"5.66";"11.1";"331";"69.2%";"21.6%";"18.8%";""
"Azir";"120";"53.8%";"56";"64";"11";"36";"28";"56.3%";"2.75";"1.64";"4.16";"4.21";"312.11";"9.52";"13.6";"414";"70%";"27.9%";"23.9%";""
"Varus";"120";"53.8%";"71";"49";"15";"28";"21";"57.1%";"3.76";"1.98";"4.51";"4.18";"319.49";"9.67";"14.2";"430";"70.7%";"32.1%";"24.6%";""
"Nautilus";"117";"52.5%";"40";"77";"14";"34";"43";"44.2%";"0.82";"3.14";"5.79";"2.1";"62.29";"1.89";"7.8";"237";"61%";"7.6%";"13.9%";""
"Elise";"112";"50.2%";"74";"38";"10";"19";"19";"50%";"2.34";"2.26";"4.42";"2.99";"176.76";"5.17";"10.8";"314";"67.6%";"23.4%";"18.3%";""
"Aatrox";"108";"48.4%";"33";"75";"16";"35";"40";"46.7%";"2.08";"2.44";"3.49";"2.28";"264.47";"8.09";"12.1";"370";"54.9%";"20.5%";"21.5%";""
"Trundle";"101";"45.3%";"42";"59";"13";"36";"23";"61%";"1.36";"1.86";"7.22";"4.6";"163.78";"4.86";"10.1";"298";"71.1%";"11.2%";"17.2%";""
"Rumble";"98";"43.9%";"43";"55";"22";"26";"29";"47.3%";"2.31";"2.09";"5.35";"3.66";"228.09";"6.93";"11.3";"344";"68.5%";"20.7%";"20%";""
"Taric";"96";"43%";"32";"64";"11";"33";"31";"51.6%";"0.27";"2.27";"7.95";"3.63";"34.81";"1.07";"7.3";"224";"78%";"2.5%";"13%";""
"Yuumi";"96";"43%";"60";"36";"10";"14";"22";"38.9%";"0.64";"1.61";"7.69";"5.17";"16.78";"0.5";"7.3";"216";"84.7%";"6.5%";"12.9%";""
"Akali";"85";"38.1%";"59";"26";"14";"15";"11";"57.7%";"2.58";"1.88";"3.62";"3.29";"283.81";"8.34";"12.9";"378";"53.1%";"22.1%";"21.6%";""
"Lucian";"79";"35.4%";"53";"26";"13";"9";"17";"34.6%";"2.19";"2.31";"3.81";"2.6";"328.04";"9.41";"13.9";"400";"67%";"24.5%";"24%";""
"Renekton";"76";"34.1%";"55";"21";"11";"9";"12";"42.9%";"1.71";"2.33";"5.24";"2.98";"306.71";"8.27";"14";"378";"64.3%";"15.9%";"22%";""
"Lee Sin";"73";"32.7%";"25";"48";"11";"13";"35";"27.1%";"2";"2.69";"4.58";"2.45";"180.54";"5.31";"10.4";"308";"72.1%";"21.9%";"18.5%";""
"Rek'Sai";"71";"31.8%";"34";"37";"9";"21";"16";"56.8%";"2.68";"2.54";"4.54";"2.84";"181.65";"5.41";"10.9";"325";"65.3%";"24.2%";"18.7%";""
"Ezreal";"70";"31.4%";"16";"54";"14";"25";"29";"46.3%";"3.39";"1.85";"3.15";"3.53";"327.24";"9.93";"14.2";"431";"67.6%";"35.1%";"25.2%";""
"Syndra";"69";"30.9%";"35";"34";"14";"14";"20";"41.2%";"2";"1.82";"4.03";"3.31";"303.41";"8.65";"12.9";"369";"57.4%";"19%";"21.9%";""
"Tahm Kench";"66";"29.6%";"24";"42";"10";"24";"18";"57.1%";"0.38";"1.74";"6.26";"3.82";"100.14";"3.04";"8.6";"260";"65%";"3.7%";"15.1%";""
"Pantheon";"65";"29.1%";"46";"19";"10";"11";"8";"57.9%";"2.11";"2.32";"3.63";"2.48";"233.95";"7.27";"11.3";"352";"54.2%";"19.9%";"20.1%";""
"Braum";"63";"28.3%";"16";"47";"14";"25";"22";"53.2%";"0.34";"2.36";"7.72";"3.41";"34.68";"0.96";"7.8";"217";"71%";"3%";"12.7%";""
"Thresh";"63";"28.3%";"27";"36";"9";"17";"19";"47.2%";"0.36";"2.36";"7.58";"3.36";"35.19";"1.03";"7.7";"225";"71.5%";"3.3%";"12.9%";""
"Gragas";"63";"28.3%";"28";"35";"10";"18";"17";"51.4%";"1.54";"1.69";"5.71";"4.31";"197.54";"5.29";"11.2";"300";"71.3%";"15.2%";"17.6%";""
"Sylas";"60";"26.9%";"29";"31";"17";"15";"16";"48.4%";"3.45";"2.74";"4.94";"3.06";"232.42";"7";"12";"361";"64.8%";"26.7%";"20.5%";""
"Soraka";"60";"26.9%";"46";"14";"9";"7";"7";"50%";"0.64";"1.64";"6.93";"4.61";"178.64";"5.32";"9.6";"286";"77.4%";"6.6%";"17%";""
"Sejuani";"47";"21.1%";"8";"39";"11";"21";"18";"53.8%";"1.85";"1.62";"6.85";"5.38";"172.64";"5.28";"10.3";"314";"73.5%";"15.6%";"18%";""
