"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Aphelios";"88";"93.6%";"41";"47";"12";"31";"16";"66%";"3.49";"1.55";"4.53";"5.16";"320.7";"9.34";"14.7";"428";"62.8%";"27.3%";"24.5%";""
"Sett";"82";"87.2%";"48";"34";"13";"24";"10";"70.6%";"2.24";"2.12";"5.06";"3.44";"232.62";"7.21";"11.8";"367";"58.6%";"18%";"20.7%";""
"Aatrox";"75";"79.8%";"23";"52";"11";"22";"30";"42.3%";"2.17";"2.35";"3.65";"2.48";"273.98";"8.02";"12.7";"373";"56.3%";"21%";"22.1%";""
"Syndra";"73";"77.7%";"43";"30";"11";"22";"8";"73.3%";"3.73";"1.5";"4.13";"5.24";"310.23";"8.84";"14.1";"402";"65.2%";"30.9%";"23.1%";""
"Ornn";"73";"77.7%";"46";"27";"15";"16";"11";"59.3%";"1.3";"1.78";"6.41";"4.33";"240.81";"6.56";"11.8";"322";"65.8%";"11.1%";"19.2%";""
"Senna";"73";"77.7%";"48";"25";"10";"10";"15";"40%";"2.88";"1.28";"5";"6.16";"249.68";"7.14";"13";"371";"81.1%";"29.6%";"22.5%";""
"Tahm Kench";"70";"74.5%";"28";"42";"11";"18";"24";"42.9%";"0.4";"2.17";"5.93";"2.92";"35.95";"1.03";"7.5";"217";"63%";"4%";"13%";""
"LeBlanc";"70";"74.5%";"56";"14";"6";"4";"10";"28.6%";"2.71";"2.21";"2.79";"2.48";"279.93";"7.8";"12.9";"360";"66.4%";"32.8%";"22.3%";""
"Rumble";"64";"68.1%";"50";"14";"12";"8";"6";"57.1%";"3.64";"2.36";"6.71";"4.39";"250.29";"6.91";"12.9";"355";"74%";"26%";"20.7%";""
"Lee Sin";"56";"59.6%";"15";"41";"12";"22";"19";"53.7%";"1.93";"2.37";"5.41";"3.1";"165.95";"4.82";"10.4";"302";"68.1%";"17.9%";"17.7%";""
"Gragas";"56";"59.6%";"27";"29";"9";"19";"10";"65.5%";"2.34";"1.97";"5.93";"4.21";"162.59";"5.06";"10";"311";"69.4%";"19.7%";"17.9%";""
"Zoe";"54";"57.4%";"21";"33";"10";"17";"16";"51.5%";"2.82";"1.79";"4.67";"4.19";"262.27";"7.69";"12.4";"362";"72.4%";"27.3%";"21.5%";""
"Jarvan IV";"54";"57.4%";"26";"28";"9";"13";"15";"46.4%";"1.32";"3.25";"7.39";"2.68";"159.61";"4.71";"9.9";"292";"84.1%";"12.8%";"17.5%";""
"Xayah";"50";"53.2%";"28";"22";"6";"15";"7";"68.2%";"3.68";"1.14";"4.5";"7.2";"338.55";"9.84";"15";"436";"69.8%";"31.4%";"25.5%";""
"Nautilus";"47";"50%";"9";"38";"11";"22";"16";"57.9%";"0.89";"3.18";"6.08";"2.19";"45.32";"1.33";"7.8";"230";"59.2%";"7.6%";"13.5%";""
"Elise";"44";"46.8%";"30";"14";"7";"5";"9";"35.7%";"1.93";"2.57";"3.5";"2.11";"181.14";"4.8";"10.9";"288";"63.9%";"22.7%";"17.8%";""
"Miss Fortune";"41";"43.6%";"7";"34";"11";"14";"20";"41.2%";"2.59";"1.68";"4.24";"4.07";"320.15";"9.58";"13.8";"414";"71.4%";"27.1%";"24.8%";""
"Sejuani";"38";"40.4%";"16";"22";"7";"9";"13";"40.9%";"1.27";"2.23";"5.59";"3.08";"158.5";"4.86";"9.6";"295";"74.4%";"13.8%";"17.7%";""
"Olaf";"34";"36.2%";"27";"7";"7";"3";"4";"42.9%";"2.57";"2.71";"3.57";"2.26";"212";"5.64";"12";"318";"65.2%";"27.3%";"19.4%";""
"Lucian";"34";"36.2%";"28";"6";"6";"3";"3";"50%";"3";"1.83";"3.67";"3.64";"308";"9.22";"13.9";"416";"55.6%";"25%";"24.1%";""
