;Bacharelado;Tecnologo
0;Sistemas de Informação;Defesa Cibernética
1;Sistemas de Informação;Defesa Cibernética
2;Engenharia de Computação;Análise e Desenvolvimento de Sistemas
3;Engenharia Mecatrônica;Análise e Desenvolvimento de Sistemas
4;Engenharia de Produção;Gestão da Tecnologia da Informação
5;Administração;Gestão da Tecnologia da Informação
6;;Marketing
7;;Marketing
8;;Jogos Digitais
9;;Jogos Digitais
10;;Produção Multimídia
11;;Produção Multimídia
12;;Banco de Dados
13;;Redes de Computadores
14;;Sistemas para Internet
