"Date";"Player";"Old ";"New"
"2020-05-25";"Mayumi";"INTZ";"None"
"2020-05-25";"Tianci";"INTZ";"None"
"2020-05-25";"Aoshi";"INTZ (Player)";"INTZ (Staff)"
"2020-05-25";"Yupps";"None";"INTZ"
"2020-05-25";"Hanor";"None";"INTZ"
"2020-05-25";"Shookz";"None";"River Plate"
"2020-05-25";"Dandy";"None";"River Plate"
"2020-05-25";"TomnaM";"None";"River Plate"
"2020-05-25";"Shmebulock";"None";"River Plate"
"2020-05-25";"Wingate";"None";"River Plate"
"2020-05-25";"LautaLoval";"None";"River Plate"
"2020-05-25";"Pandulce";"Coliseo Dragons";"River Plate"
"2020-05-25";"Juzo";"None";"Santos e-Sports"
"2020-05-25";"Key";"paiN Gaming";"None"
"2020-05-25";"Grell";"Keyd Stars";"None"
"2020-05-25";"Fresco";"River Plate";"None"
"2020-05-25";"F3N1x";"River Plate";"None"
"2020-05-25";"Tufi";"River Plate";"None"
"2020-05-25";"CallMeLucky";"River Plate";"None"
"2020-05-25";"D3RK1NG155";"Enclave Gaming";"Black Lion"
"2020-05-25";"Erickão";"None";"paiN Gaming"
"2020-05-25";"Krakmo";"None";"Lunary"
"2020-05-25";"Brigels";"None";"Lunary"
"2020-05-25";"Rx Dye";"None";"Lunary"
"2020-05-25";"Dunneboshond";"KV Mechelen Esports";"None"
"2020-05-25";"Stomaged";"SuperMassive Esports";"None"
"2020-05-25";"Reeker";"SK Gaming Prime";"None"
"2020-05-25";"Raxxo";"K1CK eSports Club";"None"
"2020-05-25";"Asura";"LNG Esports";"None"
"2020-05-25";"Aliez";"None";"Oh My God"
"2020-05-25";"Sora";"Royal Club";"Oh My God"
"2020-05-25";"Kane";"Oh My God";"None"
"2020-05-25";"SamD";"Suning-S";"Victory Five"
"2020-05-25";"Biubiu";"Suning";"Victory Five"
"2020-05-25";"Weiwei";"Suning";"Victory Five"
"2020-05-25";"Aliez";"Victory Five";"None"
"2020-05-24";"Flawed";"None";"KV Mechelen Esports"
"2020-05-24";"Sumi";"None";"KV Mechelen Esports"
"2020-05-24";"Rechter";"None";"KV Mechelen Esports"
"2020-05-24";"Dunneboshond";"None";"KV Mechelen Esports"
